how are you,"I'm good, thank you."
good morning,Good morning.
good evening,Good evening.
how are you doing,"I'm doing fine, thank you."
hello,Hi!
Thank you,You're very welcome.
how was your day,"It was good, thank you."
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,"Good, thank you."
how is the weather?,
whats the weather like?,
hi,
are you okay,
are you alright,
what is your favourite food,
what time is it,
what do you like to do,
what are your hobbies,
do you like,
its nice to meet you,
how do you do,
whats up,
its a lovely day,
the weather is nice,
is it going to rain,
it’s a nice day,
its sunny today,
what will the weather be like tomorrow,
did you see the game last night,
are you a robot,
are you ai,
are you human,
what day is today,
who made you,
youre great
you're great
fantastic
thx
hello,Hi!
Thank you,You're very welcome.
how was your day,"It was good, thank you."
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,"Good, thank you."
how is the weather?,
whats the weather like?,
how are you,"I'm good, thank you."
good morning,Good morning.
good evening,Good evening.
how are you doing,"I'm doing fine, thank you."
hello,Hi!
Thank you,You're very welcome.
how was your day,"It was good, thank you."
how old are you,Very young.
whats the time,I'm not sure. Sorry.
what the date,I'm not sure. Sorry.
its okay,Thank you.
its alright,Thank you.
how are you today,"Good, thank you."
how is the weather?,
whats the weather like?,
hi,
are you okay,
are you alright,
what is your favourite food,
what time is it,
what do you like to do,
what are your hobbies,
do you like,
