HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade ."
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .
how a water pump works,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid."
"how big is bmc software in houston, tx","Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs."
"how big is bmc software in houston, tx","For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year."
how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.
how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.
how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.
how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion."
how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet ."
how old was sue lyon when she made lolita,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming."
how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms."
how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945."
how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.
how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.
how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996."
how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943."
how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses ."
how are antibodies used in,"The antibody recognizes a unique part of the foreign target, called an antigen ."
how are antibodies used in,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision."
how are antibodies used in,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival)."
how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom."
what are stocks and bonds,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders."
what are stocks and bonds,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders)."
how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist ."
how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS)."
how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office."
HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ ""."
How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year."
how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer."
how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center."
how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on."
how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president."
how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades."
how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation ."
how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government."
what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .
what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.
how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library."
how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return."
what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player."
what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .
what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam."
how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota )."
how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.
how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework."
how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements."
how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.
what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species ."
how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance."
What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are."
How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone."
"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .
what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks."
What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.
how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.
How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .
how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing."
how is whooping cough distinguished from similar diseases,The coughing stage lasts approximately six weeks before subsiding.
what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.
what cities are in the bahamas,Nassau
what cities are in the bahamas,"Freeport, Bahamas"
how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east."
how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient."
how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer)."
what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate ."
what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54)."
what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.
what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21)."
what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65)."
what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky ."
what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).
How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.
what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands."
what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.
what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land."
what countries did immigrants come from during the immigration,Starting around 1600 British and other Europeans settled primarily on the east coast .
how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427."
how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States."
what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.
how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment ."
what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.
what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet)."
how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people."
What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position."
how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location."
how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water."
how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger."
how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger."
how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger."
what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later."
how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .
how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host."
what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively."
what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas."
what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.
what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat."
what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin."
what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"")."
how is canada's health care,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent."""
how many xbox 360 games are there,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013."
how do pineapples grow,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months."
what country did wine originate in,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively."
how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India ."
